,Feature,Mean,Std Dev
99,0_FFT mean coefficient_39,0.000622217946098,0.000851169907154
100,0_FFT mean coefficient_40,0.000602719209787,0.000849673355117
101,0_FFT mean coefficient_41,0.000572553611205,0.000804255212576
102,0_FFT mean coefficient_42,0.000544371980209,0.000768875308239
103,0_FFT mean coefficient_43,0.000517746420015,0.000750180801471
104,0_FFT mean coefficient_44,0.000493863840655,0.000737117785184
105,0_FFT mean coefficient_45,0.000449562147931,0.000664730600473
106,0_FFT mean coefficient_46,0.000418316752095,0.000629219717897
107,0_FFT mean coefficient_47,0.000382455794683,0.000581322503027
108,0_FFT mean coefficient_48,0.000349327950706,0.00054104910061
109,0_FFT mean coefficient_49,0.000316517851033,0.000491958064896
110,0_FFT mean coefficient_50,0.000286079037561,0.000452424278615
111,0_FFT mean coefficient_51,0.00026391888073,0.000432501437555
112,0_FFT mean coefficient_52,0.000227502983097,0.000370362082015
113,0_FFT mean coefficient_53,0.000201115156293,0.000328709036208
114,0_FFT mean coefficient_54,0.000175159507694,0.000291295018596
115,0_FFT mean coefficient_55,0.000153001646528,0.000260225513631
116,0_FFT mean coefficient_56,0.000134440546802,0.000235142561786
117,0_FFT mean coefficient_57,0.000117465477362,0.000217462944072
118,0_FFT mean coefficient_58,0.000101233905851,0.000193731800154
119,0_FFT mean coefficient_59,8.64313499006e-05,0.000165212836663
120,0_FFT mean coefficient_60,7.4186895694e-05,0.000144563530815
121,0_FFT mean coefficient_61,6.51788575475e-05,0.000130618728648
122,0_FFT mean coefficient_62,5.49507430754e-05,0.000111831094434
123,0_FFT mean coefficient_63,4.73669971195e-05,9.90025716066e-05
124,0_FFT mean coefficient_64,4.1093375221e-05,9.0445372549e-05
125,0_FFT mean coefficient_65,3.51220811259e-05,7.66947599656e-05
126,0_FFT mean coefficient_66,3.0293297464e-05,6.6467768714e-05
127,0_FFT mean coefficient_67,2.60067016393e-05,5.88566249996e-05
128,0_FFT mean coefficient_68,2.21415414445e-05,5.13818278477e-05
129,0_FFT mean coefficient_69,1.87145984745e-05,4.43377183489e-05
130,0_FFT mean coefficient_70,1.60570872607e-05,3.85813481673e-05
131,0_FFT mean coefficient_71,1.37182634528e-05,3.330954898e-05
132,0_FFT mean coefficient_72,1.16614494273e-05,2.94259255071e-05
133,0_FFT mean coefficient_73,1.00472593806e-05,2.65887530587e-05
134,0_FFT mean coefficient_74,8.43133907116e-06,2.24705291431e-05
135,0_FFT mean coefficient_75,7.14263062224e-06,1.8593511005e-05
136,0_FFT mean coefficient_76,6.20254549151e-06,1.63547153094e-05
137,0_FFT mean coefficient_77,5.21752534591e-06,1.38542160194e-05
138,0_FFT mean coefficient_78,4.37405414838e-06,1.13719893648e-05
139,0_FFT mean coefficient_79,3.72281171179e-06,9.72033822722e-06
140,0_FFT mean coefficient_80,3.20842839594e-06,8.36349567521e-06
141,0_FFT mean coefficient_81,2.75773484093e-06,7.27451689732e-06
142,0_FFT mean coefficient_82,2.38660442669e-06,6.54044490694e-06
143,0_FFT mean coefficient_83,2.03691279879e-06,5.62901681683e-06
144,0_FFT mean coefficient_84,1.76381979605e-06,5.27578336378e-06
145,0_FFT mean coefficient_85,1.5101490499e-06,4.37270355663e-06
146,0_FFT mean coefficient_86,1.32174144801e-06,4.34795229671e-06
147,0_FFT mean coefficient_87,1.15156993647e-06,3.55984848515e-06
148,0_FFT mean coefficient_88,1.01038784412e-06,3.28667591236e-06
149,0_FFT mean coefficient_89,8.77376900894e-07,2.86899378607e-06
150,0_FFT mean coefficient_90,7.65213847034e-07,2.60214080405e-06
151,0_FFT mean coefficient_91,6.77104494561e-07,2.82779628946e-06
152,0_FFT mean coefficient_92,5.90254957242e-07,2.18692116545e-06
153,0_FFT mean coefficient_93,5.20145278048e-07,2.25562257478e-06
154,0_FFT mean coefficient_94,4.66807420028e-07,2.78369280782e-06
155,0_FFT mean coefficient_95,4.22420248214e-07,2.89481176064e-06
156,0_FFT mean coefficient_96,3.57695208352e-07,1.77641316089e-06
157,0_FFT mean coefficient_97,2.97044908061e-07,1.23908956619e-06
158,0_FFT mean coefficient_98,2.52437525731e-07,9.83544154874e-07
159,0_FFT mean coefficient_99,2.20235920636e-07,8.81760651196e-07
160,0_FFT mean coefficient_100,2.05696027998e-07,1.25959823263e-06
161,0_FFT mean coefficient_101,1.85218380312e-07,1.29516699264e-06
162,0_FFT mean coefficient_102,1.55832512416e-07,7.95704546051e-07
163,0_FFT mean coefficient_103,1.25724819937e-07,5.19916761379e-07
164,0_FFT mean coefficient_104,1.0827064043e-07,4.64850721007e-07
165,0_FFT mean coefficient_105,9.22877995724e-08,3.85115109526e-07
166,0_FFT mean coefficient_106,7.8842589409e-08,3.21728277913e-07
167,0_FFT mean coefficient_107,7.15165435598e-08,3.44516456993e-07
168,0_FFT mean coefficient_108,5.84151718967e-08,2.46758202453e-07
169,0_FFT mean coefficient_109,5.05364950649e-08,2.29163910852e-07
170,0_FFT mean coefficient_110,4.38202636948e-08,2.01149584944e-07
171,0_FFT mean coefficient_111,3.74505183186e-08,1.63458967146e-07
172,0_FFT mean coefficient_112,3.26045969836e-08,1.51957214395e-07
173,0_FFT mean coefficient_113,2.96906159101e-08,1.32443490575e-07
174,0_FFT mean coefficient_114,2.55927522319e-08,1.23750341526e-07
175,0_FFT mean coefficient_115,2.11585423232e-08,8.6660780864e-08
176,0_FFT mean coefficient_116,1.79701498157e-08,7.20529323347e-08
177,0_FFT mean coefficient_117,1.64633053194e-08,6.91573174487e-08
178,0_FFT mean coefficient_118,1.3876916451e-08,7.35329547314e-08
179,0_FFT mean coefficient_119,1.20824575761e-08,7.07988173556e-08
180,0_FFT mean coefficient_120,1.0459347938e-08,5.54138468264e-08
181,0_FFT mean coefficient_121,9.02755214317e-09,3.75336035375e-08
182,0_FFT mean coefficient_122,7.99430588279e-09,3.89589035658e-08
183,0_FFT mean coefficient_123,6.78813754739e-09,2.86164965275e-08
184,0_FFT mean coefficient_124,5.90784630386e-09,2.4466971624e-08
185,0_FFT mean coefficient_125,5.12342110298e-09,2.18989450103e-08
186,0_FFT mean coefficient_126,4.32638178162e-09,1.68301276362e-08
187,0_FFT mean coefficient_127,3.76553403838e-09,1.42605992036e-08
188,0_FFT mean coefficient_128,3.28784683959e-09,1.29681784335e-08
189,0_FFT mean coefficient_129,2.89918379924e-09,1.71105729192e-08
190,0_FFT mean coefficient_130,2.60650303945e-09,1.21336220602e-08
191,0_FFT mean coefficient_131,2.22922553769e-09,1.00145445878e-08
192,0_FFT mean coefficient_132,1.84516825187e-09,8.02961347982e-09
193,0_FFT mean coefficient_133,1.57090740452e-09,6.53981672729e-09
194,0_FFT mean coefficient_134,1.34680975419e-09,5.30311879508e-09
195,0_FFT mean coefficient_135,1.18718649223e-09,4.95902018396e-09
196,0_FFT mean coefficient_136,1.0930632208e-09,5.42630994823e-09
197,0_FFT mean coefficient_137,9.46638253556e-10,5.28621374057e-09
198,0_FFT mean coefficient_138,8.13642800835e-10,4.45606607963e-09
199,0_FFT mean coefficient_139,6.84997009728e-10,5.39987778937e-09
200,0_FFT mean coefficient_140,5.6943262878e-10,2.69349732719e-09
201,0_FFT mean coefficient_141,4.94697923253e-10,2.47014342455e-09
202,0_FFT mean coefficient_142,4.78785153879e-10,1.28443490129e-08
203,0_FFT mean coefficient_143,3.73699410311e-10,2.61993835702e-09
204,0_FFT mean coefficient_144,3.50827061812e-10,4.19102420221e-09
205,0_FFT mean coefficient_145,3.07937985398e-10,3.83463372379e-09
206,0_FFT mean coefficient_146,2.44057589546e-10,1.52802068643e-09
